frame,radius,density
0,10.0,66.60087289797016
0,20.0,61.05080015647264
0,30.0,52.28752740673972
0,40.0,54.30071168708376
0,50.0,72.96980883083616
1,10.0,27.750363707487566
1,20.0,57.08646248397441
1,30.0,60.46658197315711
1,40.0,61.05080015647263
1,50.0,76.79117039055575
2,10.0,38.85050919048258
2,20.0,50.74352220797725
2,30.0,52.871745590055255
2,40.0,58.95077263266276
2,50.0,79.15677516562026
3,10.0,83.25109112246268
3,20.0,39.64337672498223
3,30.0,52.28752740673972
3,40.0,55.20072348300228
3,50.0,81.52237994068479
4,10.0,44.4005819319801
4,20.0,67.3937404324698
4,30.0,59.882363789841584
4,40.0,65.10085323810596
4,50.0,82.15927353397139
5,10.0,72.15094563946768
5,20.0,55.50072741497513
5,30.0,57.837600148237236
5,40.0,54.90071955102945
5,50.0,81.70434953876668
6,10.0,33.30043644898508
6,20.0,61.843667690972275
6,30.0,57.25338196492171
6,40.0,56.8507451088529
6,50.0,80.43056235219348
7,10.0,38.85050919048258
7,20.0,61.05080015647264
7,30.0,54.33229104834407
7,40.0,60.45079229252696
7,50.0,77.79200318000613
8,10.0,94.35123660545771
8,20.0,38.85050919048259
8,30.0,57.837600148237236
8,40.0,57.30075100681215
8,50.0,77.88298797904707
9,10.0,38.85050919048258
9,20.0,50.74352220797725
9,30.0,56.37705468994842
9,40.0,61.80080998640473
9,50.0,76.15427679726916
10,10.0,66.60087289797016
10,20.0,61.05080015647264
10,30.0,56.961272873263944
10,40.0,58.80077066667636
10,50.0,84.70684790711779
11,10.0,22.20029096599005
11,20.0,61.05080015647264
11,30.0,61.34290924813041
11,40.0,63.450831612255335
11,50.0,76.15427679726916
12,10.0,44.4005819319801
12,20.0,51.5363897424769
12,30.0,54.624400140001846
12,40.0,60.90079819048621
12,50.0,82.15927353397139
13,10.0,44.4005819319801
13,20.0,62.636535225471924
13,30.0,61.63501833978816
13,40.0,63.750835544228174
13,50.0,80.06662315602969
14,10.0,94.35123660545771
14,20.0,67.3937404324698
14,30.0,55.50072741497513
14,40.0,53.85070578912451
14,50.0,79.4297295627431
15,10.0,44.4005819319801
15,20.0,55.50072741497513
15,30.0,63.09556379807699
15,40.0,57.900758870757834
15,50.0,80.24859275411158
16,10.0,49.950654673477615
16,20.0,62.636535225471924
16,30.0,56.66916378160618
16,40.0,56.250737244907214
16,50.0,81.79533433780762
17,10.0,55.50072741497513
17,20.0,60.257932621972984
17,30.0,52.57963649839749
17,40.0,54.90071955102945
17,50.0,81.52237994068479
18,10.0,55.50072741497513
18,20.0,43.60771439748045
18,30.0,58.129709239895
18,40.0,61.05080015647263
18,50.0,76.60920079247387
19,10.0,49.950654673477615
19,20.0,61.843667690972275
19,30.0,58.129709239895
19,40.0,62.85082374830966
19,50.0,82.06828873493045
20,10.0,61.05080015647264
20,20.0,63.42940275997157
20,30.0,58.129709239895
20,40.0,62.400817850350414
20,50.0,78.70185117041557
21,10.0,61.05080015647264
21,20.0,56.29359494947477
21,30.0,54.33229104834407
21,40.0,56.55074117688005
21,50.0,78.24692717521084
22,10.0,38.85050919048258
22,20.0,42.021979328481166
22,30.0,61.05080015647264
22,40.0,59.55078049660844
22,50.0,74.78950481165501
23,10.0,83.25109112246268
23,20.0,62.636535225471924
23,30.0,50.534872856793136
23,40.0,55.65072938096154
23,50.0,78.7928359694565
24,10.0,33.30043644898508
24,20.0,53.91499234597583
24,30.0,65.14032743968133
24,40.0,60.000786394567704
24,50.0,78.42889677329273
25,10.0,72.15094563946768
25,20.0,58.6721975529737
25,30.0,57.837600148237236
25,40.0,57.900758870757834
25,50.0,77.5190487828833
26,10.0,27.750363707487566
26,20.0,48.36491960447832
26,30.0,59.006036514868285
26,40.0,54.75071758504303
26,50.0,78.15594237616989
27,10.0,66.60087289797016
27,20.0,49.950654673477615
27,30.0,53.45596377337078
27,40.0,58.65076870068992
27,50.0,79.70268395986594
28,10.0,61.05080015647264
28,20.0,50.74352220797725
28,30.0,63.09556379807699
28,40.0,59.10077459864919
28,50.0,84.79783270615873
29,10.0,61.05080015647264
29,20.0,54.70785988047548
29,30.0,52.57963649839749
29,40.0,57.15074904082574
29,50.0,75.42639840494162
30,10.0,66.60087289797016
30,20.0,53.12212481147619
30,30.0,50.8269819484509
30,40.0,57.60075493878499
30,50.0,82.34124313205328
31,10.0,94.35123660545771
31,20.0,57.08646248397441
31,30.0,62.51134561476146
31,40.0,62.10081391837757
31,50.0,78.51988157233369
32,10.0,55.50072741497513
32,20.0,58.6721975529737
32,30.0,55.50072741497513
32,40.0,57.0007470748393
32,50.0,81.06745594548008
33,10.0,61.05080015647264
33,20.0,40.436244259481875
33,30.0,65.14032743968133
33,40.0,62.55081981633682
33,50.0,82.79616712725799
34,10.0,66.60087289797016
34,20.0,58.6721975529737
34,30.0,61.05080015647264
34,40.0,59.70078246259486
34,50.0,82.15927353397139
35,10.0,33.30043644898508
35,20.0,42.021979328481166
35,30.0,49.950654673477615
35,40.0,58.20076280273067
35,50.0,80.15760795507063
36,10.0,61.05080015647264
36,20.0,68.18660796696943
36,30.0,56.08494559829066
36,40.0,61.5008060544319
36,50.0,81.43139514164385
37,10.0,49.950654673477615
37,20.0,57.08646248397441
37,30.0,56.66916378160618
37,40.0,60.000786394567704
37,50.0,79.24775996466121
38,10.0,27.750363707487566
38,20.0,57.87933001847406
38,30.0,57.837600148237236
38,40.0,50.850666469396124
38,50.0,85.43472629944533
39,10.0,27.750363707487566
39,20.0,53.12212481147619
39,30.0,54.33229104834407
39,40.0,57.45075297279857
39,50.0,81.24942554356196
40,10.0,22.20029096599005
40,20.0,58.6721975529737
40,30.0,54.040181956686304
40,40.0,57.45075297279857
40,50.0,85.79866549560909
41,10.0,16.65021822449254
41,20.0,52.32925727697654
41,30.0,54.040181956686304
41,40.0,60.30079032654054
41,50.0,83.79699991670836
42,10.0,38.85050919048258
42,20.0,58.6721975529737
42,30.0,59.29814560652605
42,40.0,58.80077066667636
42,50.0,76.427231194392
43,10.0,27.750363707487566
43,20.0,59.46506508747335
43,30.0,56.37705468994842
43,40.0,57.900758870757834
43,50.0,83.2510911224627
44,10.0,33.30043644898508
44,20.0,70.56521057046837
44,30.0,53.45596377337078
44,40.0,61.350804088445464
44,50.0,77.7010183809652
45,10.0,33.30043644898508
45,20.0,54.70785988047548
45,30.0,56.08494559829066
45,40.0,53.10069595919241
45,50.0,77.97397277808801
46,10.0,49.950654673477615
46,20.0,52.32925727697654
46,30.0,54.916509231659596
46,40.0,57.30075100681215
46,50.0,82.06828873493045
47,10.0,72.15094563946768
47,20.0,45.98631700097938
47,30.0,51.995418315081956
47,40.0,66.60087289797015
47,50.0,80.06662315602969
48,10.0,66.60087289797016
48,20.0,50.74352220797725
48,30.0,60.46658197315711
48,40.0,47.10061731973564
48,50.0,80.15760795507063
49,10.0,55.50072741497513
49,20.0,61.843667690972275
49,30.0,53.74807286502855
49,40.0,58.500766734703504
49,50.0,77.79200318000613
50,10.0,22.20029096599005
50,20.0,57.87933001847406
50,30.0,61.63501833978816
50,40.0,61.350804088445464
50,50.0,76.79117039055575
51,10.0,72.15094563946768
51,20.0,53.91499234597583
51,30.0,52.871745590055255
51,40.0,52.20068416327389
51,50.0,83.79699991670836
52,10.0,55.50072741497513
52,20.0,51.5363897424769
52,30.0,57.54549105657947
52,40.0,55.65072938096154
52,50.0,78.42889677329273
53,10.0,49.950654673477615
53,20.0,58.6721975529737
53,30.0,61.34290924813041
53,40.0,57.900758870757834
53,50.0,79.79366875890688
54,10.0,61.05080015647264
54,20.0,77.70101838096518
54,30.0,59.29814560652605
54,40.0,55.50072741497512
54,50.0,79.15677516562026
55,10.0,33.30043644898508
55,20.0,52.32925727697654
55,30.0,57.837600148237236
55,40.0,58.35076476871709
55,50.0,79.4297295627431
56,10.0,38.85050919048258
56,20.0,38.85050919048259
56,30.0,51.411200131766435
56,40.0,58.35076476871709
56,50.0,80.97647114643914
57,10.0,77.70101838096517
57,20.0,53.91499234597583
57,30.0,54.916509231659596
57,40.0,58.65076870068992
57,50.0,77.0641247876786
58,10.0,94.35123660545771
58,20.0,52.32925727697654
58,30.0,59.882363789841584
58,40.0,56.250737244907214
58,50.0,82.79616712725799
59,10.0,49.950654673477615
59,20.0,67.3937404324698
59,30.0,58.129709239895
59,40.0,55.80073134694795
59,50.0,80.8854863473982
60,10.0,44.4005819319801
60,20.0,40.436244259481875
60,30.0,59.29814560652605
60,40.0,51.75067826531465
60,50.0,79.33874476370215
61,10.0,61.05080015647264
61,20.0,49.950654673477615
61,30.0,46.44534557358445
61,40.0,54.90071955102945
61,50.0,79.33874476370215
62,10.0,38.85050919048258
62,20.0,44.4005819319801
62,30.0,53.74807286502855
62,40.0,55.95073331293438
62,50.0,71.24109764905825
63,10.0,49.950654673477615
63,20.0,61.05080015647264
63,30.0,54.624400140001846
63,40.0,60.000786394567704
63,50.0,79.70268395986594
64,10.0,55.50072741497513
64,20.0,76.90815084646553
64,30.0,53.74807286502855
64,40.0,50.700664503409705
64,50.0,84.43389350999496
65,10.0,61.05080015647264
65,20.0,54.70785988047548
65,30.0,63.679781981392516
65,40.0,63.000825714296084
65,50.0,89.34707265820587
66,10.0,55.50072741497513
66,20.0,59.46506508747335
66,30.0,61.92712743144594
66,40.0,58.20076280273067
66,50.0,84.70684790711779
67,10.0,77.70101838096517
67,20.0,50.74352220797725
67,30.0,49.36643649016208
67,40.0,60.90079819048621
67,50.0,76.51821599343293
68,10.0,55.50072741497513
68,20.0,65.01513782897085
68,30.0,54.624400140001846
68,40.0,64.6508473401467
68,50.0,83.06912152438082
69,10.0,61.05080015647264
69,20.0,62.636535225471924
69,30.0,65.72454562299686
69,40.0,54.15070972109736
69,50.0,86.89048308410041
70,10.0,72.15094563946768
70,20.0,58.6721975529737
70,30.0,56.961272873263944
70,40.0,58.80077066667636
70,50.0,79.70268395986594
71,10.0,33.30043644898508
71,20.0,53.12212481147619
71,30.0,57.54549105657947
71,40.0,55.80073134694795
71,50.0,84.61586310807684
72,10.0,33.30043644898508
72,20.0,42.021979328481166
72,30.0,54.624400140001846
72,40.0,54.75071758504303
72,50.0,81.52237994068479
73,10.0,49.950654673477615
73,20.0,50.74352220797725
73,30.0,59.59025469818383
73,40.0,58.65076870068992
73,50.0,84.25192391191308
74,10.0,105.45138208845275
74,20.0,46.77918453547903
74,30.0,51.70330922342419
74,40.0,57.60075493878499
74,50.0,85.61669589752721
75,10.0,88.8011638639602
75,20.0,54.70785988047548
75,30.0,55.50072741497513
75,40.0,56.1007352789208
75,50.0,75.51738320398256
76,10.0,27.750363707487566
76,20.0,53.12212481147619
76,30.0,53.16385468171302
76,40.0,62.25081588436399
76,50.0,77.15510958671953
77,10.0,66.60087289797016
77,20.0,47.57205206997868
77,30.0,64.55610925636581
77,40.0,60.45079229252696
77,50.0,77.15510958671953
78,10.0,16.65021822449254
78,20.0,54.70785988047548
78,30.0,53.74807286502855
78,40.0,56.8507451088529
78,50.0,85.25275670136345
79,10.0,44.4005819319801
79,20.0,62.636535225471924
79,30.0,59.006036514868285
79,40.0,60.000786394567704
79,50.0,77.79200318000613
80,10.0,27.750363707487566
80,20.0,51.5363897424769
80,30.0,51.995418315081956
80,40.0,57.0007470748393
80,50.0,76.427231194392
